"From City","To City","Driving Distance","Walking Distance",""
"Bamako","Sikasso","371.9","356.55",""
"Bamako","Koutiala","322.88","308.28",""
"Bamako","Segou","243.54","239.82",""
"Bamako","Mopti","590.87","566.59",""
"Bamako","Kayes","614.21","517.72",""
"Bamako","Timbuktu","962.11","849.92",""
"Bamako","Gao","1154.6","1128.53",""
"Bamako","Kati","16.24","15.69",""
"Bamako","Markala","278.02","274.22",""
"Bamako","Bourem Guindou","-1.0","-1.0",""
"Bamako","Bafoulabe","387.08","388.61",""
"Bamako","Bougouni","162.66","167.03",""
"Bamako","San","385.46","387.1",""
"Bamako","Djenne","519.94","450.12",""
"Bamako","Nara","369.23","353.23",""
"Bamako","Kangaba","97.96","100.25",""
"Sikasso","Bamako","372.56","356.55",""
"Sikasso","Koutiala","139.38","132.9",""
"Sikasso","Segou","291.54","275.42",""
"Sikasso","Mopti","463.62","461.85",""
"Sikasso","Kayes","986.35","872.23",""
"Sikasso","Timbuktu","834.86","829.51",""
"Sikasso","Gao","1027.34","1010.11",""
"Sikasso","Kati","388.37","370.2",""
"Sikasso","Markala","330.57","308.79",""
"Sikasso","Bourem Guindou","-1.0","-1.0",""
"Sikasso","Bafoulabe","759.21","743.12",""
"Sikasso","Bougouni","209.51","212.01",""
"Sikasso","San","272.79","274.79",""
"Sikasso","Djenne","392.69","379.25",""
"Sikasso","Nara","741.37","566.35",""
"Sikasso","Kangaba","468.02","452.01",""
"Koutiala","Bamako","323.38","308.28",""
"Koutiala","Sikasso","139.39","132.9",""
"Koutiala","Segou","152.16","153.47",""
"Koutiala","Mopti","324.24","322.83",""
"Koutiala","Kayes","937.17","823.96",""
"Koutiala","Timbuktu","695.48","690.49",""
"Koutiala","Gao","887.96","871.09",""
"Koutiala","Kati","339.19","321.93",""
"Koutiala","Markala","191.19","186.83",""
"Koutiala","Bourem Guindou","-1.0","-1.0",""
"Koutiala","Bafoulabe","710.03","694.85",""
"Koutiala","Bougouni","344.31","317.11",""
"Koutiala","San","133.41","135.77",""
"Koutiala","Djenne","253.31","240.22",""
"Koutiala","Nara","536.32","449.91",""
"Koutiala","Kangaba","418.84","403.74",""
"Segou","Bamako","244.07","239.82",""
"Segou","Sikasso","291.55","275.42",""
"Segou","Koutiala","152.16","153.47",""
"Segou","Mopti","389.46","326.96",""
"Segou","Kayes","857.86","730.41",""
"Segou","Timbuktu","760.7","619.92",""
"Segou","Gao","953.19","888.9",""
"Segou","Kati","259.88","248.32",""
"Segou","Markala","40.49","37.98",""
"Segou","Bourem Guindou","-1.0","-1.0",""
"Segou","Bafoulabe","630.72","614.81",""
"Segou","Bougouni","386.16","328.39",""
"Segou","San","184.05","176.78",""
"Segou","Djenne","318.54","210.5",""
"Segou","Nara","385.63","301.06",""
"Segou","Kangaba","339.53","340.16",""
"Mopti","Bamako","591.38","566.59",""
"Mopti","Sikasso","463.71","461.85",""
"Mopti","Koutiala","324.32","322.83",""
"Mopti","Segou","389.39","326.96",""
"Mopti","Kayes","1205.17","997.12",""
"Mopti","Timbuktu","390.81","390.92",""
"Mopti","Gao","583.3","576.23",""
"Mopti","Kati","607.19","575.09",""
"Mopti","Markala","428.42","312.9",""
"Mopti","Bourem Guindou","-1.0","-1.0",""
"Mopti","Bafoulabe","978.03","986.85",""
"Mopti","Bougouni","668.63","644.73",""
"Mopti","San","206.35","200.6",""
"Mopti","Djenne","123.54","117.19",""
"Mopti","Nara","658.43","531.52",""
"Mopti","Kangaba","686.84","666.93",""
"Kayes","Bamako","613.99","517.72",""
"Kayes","Sikasso","985.89","872.23",""
"Kayes","Koutiala","936.87","823.96",""
"Kayes","Segou","857.52","730.41",""
"Kayes","Mopti","1204.86","997.12",""
"Kayes","Timbuktu","1576.1","1155.02",""
"Kayes","Gao","1768.59","1564.57",""
"Kayes","Kati","598.01","502.1",""
"Kayes","Markala","892.01","730.85",""
"Kayes","Bourem Guindou","-1.0","-1.0",""
"Kayes","Bafoulabe","128.94","129.49",""
"Kayes","Bougouni","776.65","684.69",""
"Kayes","San","999.45","887.71",""
"Kayes","Djenne","1133.93","880.66",""
"Kayes","Nara","535.5","537.29",""
"Kayes","Kangaba","712.17","545.92",""
"Timbuktu","Bamako","962.61","849.92",""
"Timbuktu","Sikasso","834.94","829.51",""
"Timbuktu","Koutiala","695.56","690.49",""
"Timbuktu","Segou","760.63","619.92",""
"Timbuktu","Mopti","390.75","390.92",""
"Timbuktu","Kayes","1576.4","1155.02",""
"Timbuktu","Gao","612.4","410.36",""
"Timbuktu","Kati","978.43","844.42",""
"Timbuktu","Markala","799.66","587.89",""
"Timbuktu","Bourem Guindou","-1.0","-1.0",""
"Timbuktu","Bafoulabe","1349.27","1144.75",""
"Timbuktu","Bougouni","1039.87","944.72",""
"Timbuktu","San","577.59","568.27",""
"Timbuktu","Djenne","494.77","484.86",""
"Timbuktu","Nara","664.47","649.88",""
"Timbuktu","Kangaba","1058.07","950.27",""
"Gao","Bamako","1155.23","1128.53",""
"Gao","Sikasso","1027.56","1010.11",""
"Gao","Koutiala","888.17","871.09",""
"Gao","Segou","953.25","888.9",""
"Gao","Mopti","583.37","576.23",""
"Gao","Kayes","1769.02","1564.57",""
"Gao","Timbuktu","612.52","410.36",""
"Gao","Kati","1171.04","1137.03",""
"Gao","Markala","992.27","874.84",""
"Gao","Bourem Guindou","-1.0","-1.0",""
"Gao","Bafoulabe","1541.89","1554.3",""
"Gao","Bougouni","1232.48","1193.0",""
"Gao","San","770.2","762.54",""
"Gao","Djenne","687.39","679.13",""
"Gao","Nara","1222.28","1059.43",""
"Gao","Kangaba","1250.69","1228.87",""
"Kati","Bamako","16.28","15.69",""
"Kati","Sikasso","388.18","370.2",""
"Kati","Koutiala","339.17","321.93",""
"Kati","Segou","259.82","248.32",""
"Kati","Mopti","607.15","575.09",""
"Kati","Kayes","598.28","502.1",""
"Kati","Timbuktu","978.39","844.42",""
"Kati","Gao","1170.88","1137.03",""
"Kati","Markala","294.3","282.72",""
"Kati","Bourem Guindou","-1.0","-1.0",""
"Kati","Bafoulabe","371.15","372.99",""
"Kati","Bougouni","178.94","182.66",""
"Kati","San","401.74","400.75",""
"Kati","Djenne","536.23","458.63",""
"Kati","Nara","353.3","337.61",""
"Kati","Kangaba","114.46","110.38",""
"Markala","Bamako","278.53","274.22",""
"Markala","Sikasso","330.57","308.79",""
"Markala","Koutiala","191.18","186.83",""
"Markala","Segou","40.5","37.98",""
"Markala","Mopti","428.48","312.9",""
"Markala","Kayes","892.32","730.85",""
"Markala","Timbuktu","799.72","587.89",""
"Markala","Gao","992.2","874.84",""
"Markala","Kati","294.34","282.72",""
"Markala","Bourem Guindou","-1.0","-1.0",""
"Markala","Bafoulabe","665.18","649.21",""
"Markala","Bougouni","420.62","362.79",""
"Markala","San","223.07","177.38",""
"Markala","Djenne","207.13","196.43",""
"Markala","Nara","351.7","269.04",""
"Markala","Kangaba","373.99","374.57",""
"Bourem Guindou","Bamako","-1.0","-1.0",""
"Bourem Guindou","Sikasso","-1.0","-1.0",""
"Bourem Guindou","Koutiala","-1.0","-1.0",""
"Bourem Guindou","Segou","-1.0","-1.0",""
"Bourem Guindou","Mopti","-1.0","-1.0",""
"Bourem Guindou","Kayes","-1.0","-1.0",""
"Bourem Guindou","Timbuktu","-1.0","-1.0",""
"Bourem Guindou","Gao","-1.0","-1.0",""
"Bourem Guindou","Kati","-1.0","-1.0",""
"Bourem Guindou","Markala","-1.0","-1.0",""
"Bourem Guindou","Bafoulabe","-1.0","-1.0",""
"Bourem Guindou","Bougouni","-1.0","-1.0",""
"Bourem Guindou","San","-1.0","-1.0",""
"Bourem Guindou","Djenne","-1.0","-1.0",""
"Bourem Guindou","Nara","-1.0","-1.0",""
"Bourem Guindou","Kangaba","-1.0","-1.0",""
"Bafoulabe","Bamako","387.08","388.61",""
"Bafoulabe","Sikasso","758.99","743.12",""
"Bafoulabe","Koutiala","709.97","694.85",""
"Bafoulabe","Segou","630.62","614.81",""
"Bafoulabe","Mopti","977.95","986.85",""
"Bafoulabe","Kayes","129.31","129.49",""
"Bafoulabe","Timbuktu","1349.19","1144.75",""
"Bafoulabe","Gao","1541.68","1554.3",""
"Bafoulabe","Kati","371.1","372.99",""
"Bafoulabe","Markala","665.1","649.21",""
"Bafoulabe","Bourem Guindou","-1.0","-1.0",""
"Bafoulabe","Bougouni","549.74","555.58",""
"Bafoulabe","San","772.54","773.67",""
"Bafoulabe","Djenne","907.03","870.39",""
"Bafoulabe","Nara","621.42","527.01",""
"Bafoulabe","Kangaba","409.19","416.8",""
"Bougouni","Bamako","163.31","167.03",""
"Bougouni","Sikasso","209.51","212.01",""
"Bougouni","Koutiala","344.31","317.11",""
"Bougouni","Segou","386.01","328.39",""
"Bougouni","Mopti","668.55","644.73",""
"Bougouni","Kayes","777.1","684.69",""
"Bougouni","Timbuktu","1039.79","944.72",""
"Bougouni","Gao","1232.28","1193.0",""
"Bougouni","Kati","179.12","182.66",""
"Bougouni","Markala","420.49","362.79",""
"Bougouni","Bourem Guindou","-1.0","-1.0",""
"Bougouni","Bafoulabe","549.97","555.58",""
"Bougouni","San","477.72","457.68",""
"Bougouni","Djenne","597.62","538.69",""
"Bougouni","Nara","532.12","501.32",""
"Bougouni","Kangaba","258.77","260.31",""
"San","Bamako","386.02","387.1",""
"San","Sikasso","272.82","274.79",""
"San","Koutiala","133.44","135.77",""
"San","Segou","184.04","176.78",""
"San","Mopti","206.37","200.6",""
"San","Kayes","999.81","887.71",""
"San","Timbuktu","577.6","568.27",""
"San","Gao","770.09","762.54",""
"San","Kati","401.83","400.75",""
"San","Markala","223.06","177.38",""
"San","Bourem Guindou","-1.0","-1.0",""
"San","Bafoulabe","772.68","773.67",""
"San","Bougouni","477.75","457.68",""
"San","Djenne","135.44","104.37",""
"San","Nara","568.2","422.11",""
"San","Kangaba","481.48","482.56",""
"Djenne","Bamako","520.45","450.12",""
"Djenne","Sikasso","392.78","379.25",""
"Djenne","Koutiala","253.39","240.22",""
"Djenne","Segou","318.46","210.5",""
"Djenne","Mopti","123.54","117.19",""
"Djenne","Kayes","1134.24","880.66",""
"Djenne","Timbuktu","494.77","484.86",""
"Djenne","Gao","687.26","679.13",""
"Djenne","Kati","536.26","458.63",""
"Djenne","Markala","207.12","196.43",""
"Djenne","Bourem Guindou","-1.0","-1.0",""
"Djenne","Bafoulabe","907.11","870.39",""
"Djenne","Bougouni","597.7","538.69",""
"Djenne","San","135.42","104.37",""
"Djenne","Nara","534.92","415.06",""
"Djenne","Kangaba","615.91","550.47",""
"Nara","Bamako","369.27","353.23",""
"Nara","Sikasso","741.17","566.35",""
"Nara","Koutiala","536.31","449.91",""
"Nara","Segou","385.63","301.06",""
"Nara","Mopti","658.43","531.52",""
"Nara","Kayes","535.76","537.29",""
"Nara","Timbuktu","664.36","649.88",""
"Nara","Gao","1222.15","1059.43",""
"Nara","Kati","353.29","337.61",""
"Nara","Markala","351.69","269.04",""
"Nara","Bourem Guindou","-1.0","-1.0",""
"Nara","Bafoulabe","621.38","527.01",""
"Nara","Bougouni","531.93","501.32",""
"Nara","San","568.19","422.11",""
"Nara","Djenne","534.92","415.06",""
"Nara","Kangaba","467.45","447.93",""
"Kangaba","Bamako","97.74","100.25",""
"Kangaba","Sikasso","467.86","452.01",""
"Kangaba","Koutiala","418.84","403.74",""
"Kangaba","Segou","339.5","340.16",""
"Kangaba","Mopti","686.83","666.93",""
"Kangaba","Kayes","711.95","545.92",""
"Kangaba","Timbuktu","1058.07","950.27",""
"Kangaba","Gao","1250.56","1228.87",""
"Kangaba","Kati","113.98","110.38",""
"Kangaba","Markala","373.98","374.57",""
"Kangaba","Bourem Guindou","-1.0","-1.0",""
"Kangaba","Bafoulabe","409.21","416.8",""
"Kangaba","Bougouni","258.62","260.31",""
"Kangaba","San","481.42","482.56",""
"Kangaba","Djenne","615.9","550.47",""
"Kangaba","Nara","466.97","447.93",""
